RT	OFREQ	ON
674.78125	2	9
586.7428571	3	13
579.9	5	8
612.7428571	72	10
544.0769231	23	18
725.9090909	9	21
566.6666667	9	11
666.7878788	6	2
595.8235294	393	13
577.5428571	30	12
1297.5	1	3
603.0555556	17	10
661.3714286	12	8
633.1142857	102	7
587.8108108	53	15
606.1944444	3	4
749.8965517	3	6
597.3142857	16	7
694.625	2	12
550.3142857	93	10
574.7222222	2450	21
582.3513514	35	13
687.225	74	12
701.3055556	1	9
619.4054054	22	11
627.0833333	470	14
577.7894737	40	15
667.0571429	12	17
652.90625	2	8
637.5882353	3	12
635.2307692	3	2
597.0882353	76	12
535.2222222	123	9
646.3888889	28	11
633.75	24	16
614.9714286	43	9
920.0285714	25	17
601.0588235	6	12
584.6470588	46	13
579.825	54	11
728.5151515	31	14
608.5555556	101	13
608.1621622	7	8
581.4473684	251	13
795.7241379	9	10
573.675	219	9
835.0869565	7	6
587.7941176	51	17
565.3714286	436	13
646.8857143	6	1
1020.48	6	1
617.7297297	5	4
606.4285714	17	17
580.925	240	9
596.1621622	92	13
597.5277778	26	8
549.6666667	911	10
570.4	3	8
838.9642857	4	7
652.4722222	13	13
538.1470588	26	5
642.45	1	11
930.1333333	3	3
674.9393939	14	12
543.1388889	188	13
600.8484848	1133	6
777.3714286	2	14
586.3142857	287	5
594.3333333	384	22
591.5128205	71	16
574.5714286	502	12
568.1176471	77	6
575.9722222	349	15
751.9655172	3	9
605.4102564	1	15
748.7	2	11
773.7407407	1	14
671.9666667	19	8
585.25	21	7
669.2857143	37	21
610.3333333	4	16
620	78	8
558.4358974	87	13
618.675	2	13
579.2368421	266	11
723.7096774	6	9
692.2941176	11	12
656.8529412	11	10
607.9142857	2	14
720.5454545	3	12
651.7058824	1	17
595.9428571	5	11
640.5714286	9	9
611.2857143	72	13
592.1282051	2	10
700.3055556	1	8
665.6923077	12	8
582.8378378	269	10
690.2857143	22	12
698.2424242	16	4
575.2222222	16	9
657.4375	7	17
539.9487179	48	14
685.125	3	8
599.8974359	13	14
618.8888889	4	10
592.9189189	585	1
788.1818182	3	9
711.2352941	2	5
675	4	13
765.5757576	10	8
663.9375	3	3
773.1	0	16
754.3870968	10	6
579.1142857	209	12
585.5	461	10
637.0789474	15	11
684.075	86	16
588.9142857	37	11
692.0606061	12	8
